Collection Date,Trap,Anopheles sp,Cx nigripapus,Ae inf / atl,Total Mosquitoes,Temperature,Relative Humidity,Gust,UV Index,Solar radiation,Rainfall,log_Anopheles_sp,log_Cx_nigripapus,log_Ae_inf_/_atl,log_Total_Mosquitoes
2021-04-01,A6,11,36.0,2.0,54.0,63.0,64.0,21.0,1.4,149.0,0.0,2.4849066497880004,3.6109179126442243,1.0986122886681096,4.007333185232471
2021-04-01,B. WICK,8,17.0,1.0,26.0,63.0,64.0,21.0,1.4,149.0,0.0,2.197224577336219,2.8903717578961645,0.6931471805599453,3.295836866004329
2021-04-01,CHRIS/COV,10,21.0,1.0,32.0,63.0,64.0,21.0,1.4,149.0,0.0,2.3978952727983707,3.0910424533583156,0.6931471805599453,3.4965075614664802
2021-04-01,Cochise,0,44.0,7.0,51.0,63.0,64.0,21.0,1.4,149.0,0.0,0.0,3.8066624897703196,2.0794415416798357,3.951243718581427
2021-04-01,College,2,0.0,0.0,10.0,63.0,64.0,21.0,1.4,149.0,0.0,1.0986122886681096,0.0,0.0,2.3978952727983707
2021-04-01,G. HAVEN,2,0.0,0.0,21.0,63.0,64.0,21.0,1.4,149.0,0.0,1.0986122886681096,0.0,0.0,3.0910424533583156
2021-04-01,MATANZAS,12,124.0,0.0,160.0,63.0,64.0,21.0,1.4,149.0,0.0,2.5649493574615367,4.828313737302301,0.0,5.081404364984463
2021-04-01,PARISH PL.,0,29.0,1.0,38.0,63.0,64.0,21.0,1.4,149.0,0.0,0.0,3.4011973816621555,0.6931471805599453,3.6635616461296463
2021-04-01,QUAIL,12,15.0,3.0,32.0,63.0,64.0,21.0,1.4,149.0,0.0,2.5649493574615367,2.772588722239781,1.3862943611198906,3.4965075614664802
2021-04-01,R. PALM,4,13.0,0.0,28.0,63.0,64.0,21.0,1.4,149.0,0.0,1.6094379124341003,2.6390573296152584,0.0,3.3672958299864737
2021-04-01,RIDDLE,11,18.0,3.0,32.0,63.0,64.0,21.0,1.4,149.0,0.0,2.4849066497880004,2.9444389791664403,1.3862943611198906,3.4965075614664802
2021-04-01,S.Hollow,0,0.0,0.0,8.0,63.0,64.0,21.0,1.4,149.0,0.0,0.0,0.0,0.0,2.197224577336219
